,training_time,test_time,n_train,n_test,score,feat_vect_length,error,error_msg,color_space,orient,pix_per_cell,cell_per_block,hog_channel,spatial_size,hist_bins,spatial_feat,hist_feat,hog_feat
0,22.558889865875244,8.352517127990723,10656,7104,0.980405405405,1536,False,,LUV,5,14,3,0,"(14, 14)",256,True,True,True
1,23.01962423324585,8.986463069915771,10656,7104,0.980996621622,1623,False,,LUV,5,14,3,0,"(15, 15)",256,True,True,True
2,25.625845193862915,10.095921754837036,10656,7104,0.981728603604,1716,False,,LUV,5,14,3,0,"(16, 16)",256,True,True,True
3,20.75891613960266,8.381751775741577,10656,7104,0.975900900901,1536,False,,LUV,5,14,3,1,"(14, 14)",256,True,True,True
4,23.50192666053772,8.983957052230835,10656,7104,0.977561936937,1623,False,,LUV,5,14,3,1,"(15, 15)",256,True,True,True
5,23.065312147140503,9.374389410018921,10656,7104,0.978181306306,1716,False,,LUV,5,14,3,1,"(16, 16)",256,True,True,True
6,27.34225344657898,9.54387378692627,10656,7104,0.970608108108,1536,False,,LUV,5,14,3,2,"(14, 14)",256,True,True,True
7,27.909829139709473,10.350622177124023,10656,7104,0.971903153153,1623,False,,LUV,5,14,3,2,"(15, 15)",256,True,True,True
8,29.69314742088318,11.417112588882446,10656,7104,0.972043918919,1716,False,,LUV,5,14,3,2,"(16, 16)",256,True,True,True
9,20.313326835632324,7.556805610656738,10656,7104,0.979307432432,1436,False,,LUV,5,14,4,0,"(14, 14)",256,True,True,True
10,21.553144693374634,8.323912143707275,10656,7104,0.98071509009,1523,False,,LUV,5,14,4,0,"(15, 15)",256,True,True,True
11,22.927209854125977,9.042278051376343,10656,7104,0.981418918919,1616,False,,LUV,5,14,4,0,"(16, 16)",256,True,True,True
12,20.122897386550903,7.489988327026367,10656,7104,0.976126126126,1436,False,,LUV,5,14,4,1,"(14, 14)",256,True,True,True
13,20.86523199081421,8.311256408691406,10656,7104,0.978125,1523,False,,LUV,5,14,4,1,"(15, 15)",256,True,True,True
14,22.716468334197998,8.790769100189209,10656,7104,0.977899774775,1616,False,,LUV,5,14,4,1,"(16, 16)",256,True,True,True
15,25.173312187194824,9.082886934280396,10656,7104,0.970242117117,1436,False,,LUV,5,14,4,2,"(14, 14)",256,True,True,True
16,26.290138959884644,9.804388523101807,10656,7104,0.971199324324,1523,False,,LUV,5,14,4,2,"(15, 15)",256,True,True,True
17,28.1476571559906,10.518489122390747,10656,7104,0.972606981982,1616,False,,LUV,5,14,4,2,"(16, 16)",256,True,True,True
18,28.402501583099365,8.86420488357544,10656,7104,0.963907657658,1356,False,,LUV,5,14,5,0,"(14, 14)",256,True,True,True
19,28.492403507232666,9.889678001403809,10656,7104,0.965822072072,1443,False,,LUV,5,14,5,0,"(15, 15)",256,True,True,True
20,30.59162163734436,10.678659915924072,10656,7104,0.964864864865,1536,False,,LUV,5,14,5,0,"(16, 16)",256,True,True,True
21,27.906453371047974,8.996937990188599,10656,7104,0.963907657658,1356,False,,LUV,5,14,5,1,"(14, 14)",256,True,True,True
22,29.089398860931396,9.854114532470703,10656,7104,0.965822072072,1443,False,,LUV,5,14,5,1,"(15, 15)",256,True,True,True
23,30.039530277252197,11.039044380187988,10656,7104,0.964864864865,1536,False,,LUV,5,14,5,1,"(16, 16)",256,True,True,True
24,28.3847074508667,8.98733401298523,10656,7104,0.963907657658,1356,False,,LUV,5,14,5,2,"(14, 14)",256,True,True,True
25,28.359745740890503,9.922022104263306,10656,7104,0.965822072072,1443,False,,LUV,5,14,5,2,"(15, 15)",256,True,True,True
26,30.708602905273438,10.710076570510864,10656,7104,0.964864864865,1536,False,,LUV,5,14,5,2,"(16, 16)",256,True,True,True
27,20.89340114593506,8.226593494415283,10656,7104,0.980686936937,1536,False,,LUV,5,15,3,0,"(14, 14)",256,True,True,True
28,22.929286241531372,8.968525171279907,10656,7104,0.980574324324,1623,False,,LUV,5,15,3,0,"(15, 15)",256,True,True,True
29,23.574675798416138,10.133413553237915,10656,7104,0.981756756757,1716,False,,LUV,5,15,3,0,"(16, 16)",256,True,True,True
30,21.24491047859192,8.15510106086731,10656,7104,0.977195945946,1536,False,,LUV,5,15,3,1,"(14, 14)",256,True,True,True
31,21.508625507354736,8.650475978851318,10656,7104,0.97857545045,1623,False,,LUV,5,15,3,1,"(15, 15)",256,True,True,True
32,23.5568368434906,9.662920713424683,10656,7104,0.977843468468,1716,False,,LUV,5,15,3,1,"(16, 16)",256,True,True,True
33,25.75488305091858,9.457372188568115,10656,7104,0.973001126126,1536,False,,LUV,5,15,3,2,"(14, 14)",256,True,True,True
34,26.783392667770386,10.416947603225708,10656,7104,0.973001126126,1623,False,,LUV,5,15,3,2,"(15, 15)",256,True,True,True
35,28.298960208892822,10.755732774734497,10656,7104,0.973536036036,1716,False,,LUV,5,15,3,2,"(16, 16)",256,True,True,True
36,20.389376640319824,7.817083358764648,10656,7104,0.979983108108,1436,False,,LUV,5,15,4,0,"(14, 14)",256,True,True,True
37,20.664626359939575,8.228608846664429,10656,7104,0.980518018018,1523,False,,LUV,5,15,4,0,"(15, 15)",256,True,True,True
38,22.739744186401367,9.324019193649292,10656,7104,0.982038288288,1616,False,,LUV,5,15,4,0,"(16, 16)",256,True,True,True
39,19.76602005958557,7.807631254196167,10656,7104,0.976576576577,1436,False,,LUV,5,15,4,1,"(14, 14)",256,True,True,True
40,20.63175868988037,7.998675346374512,10656,7104,0.978631756757,1523,False,,LUV,5,15,4,1,"(15, 15)",256,True,True,True
41,21.978185176849365,8.985069751739502,10656,7104,0.978462837838,1616,False,,LUV,5,15,4,1,"(16, 16)",256,True,True,True
42,24.136833429336548,8.669552564620972,10656,7104,0.971452702703,1436,False,,LUV,5,15,4,2,"(14, 14)",256,True,True,True
43,24.691300630569458,9.35607385635376,10656,7104,0.971452702703,1523,False,,LUV,5,15,4,2,"(15, 15)",256,True,True,True
44,27.292149782180786,10.184197187423706,10656,7104,0.973057432432,1616,False,,LUV,5,15,4,2,"(16, 16)",256,True,True,True
