,training_time,test_time,n_train,n_test,score,feat_vect_length,error,error_msg,input_cspace,target_cspace,hog_orient_nbins,hog_pix_per_cell,hog_cell_per_block,hog_channel,spatial_binning_size,hist_channels,hist_nbins,spatial_feat,hist_feat,hog_feat
0,21.01278018951416,13.145620346069336,8880,8880,0.982207207207,1803,False,,BGR,LUV,10,"(16, 16)","(3, 3)","(1,)","(15, 15)","(0, 1, 2)",256,True,True,True
1,23.190012216567993,17.020047426223755,8880,8880,0.983220720721,1995,False,,BGR,LUV,10,"(16, 16)","(3, 3)","(1,)","(17, 17)","(0, 1, 2)",256,True,True,True
2,27.71404480934143,20.015209197998047,8880,8880,0.984421921922,2523,False,,BGR,LUV,10,"(16, 16)","(3, 3)","(0, 1, 2)","(15, 15)","(0, 1, 2)",256,True,True,True
3,29.33310103416443,20.815630674362183,8880,8880,0.985285285285,2715,False,,BGR,LUV,10,"(16, 16)","(3, 3)","(0, 1, 2)","(17, 17)","(0, 1, 2)",256,True,True,True
4,20.637467861175537,12.772509574890137,8880,8880,0.983408408408,1875,False,,BGR,LUV,12,"(16, 16)","(3, 3)","(1,)","(15, 15)","(0, 1, 2)",256,True,True,True
5,23.516722202301025,14.893147230148315,8880,8880,0.984459459459,2067,False,,BGR,LUV,12,"(16, 16)","(3, 3)","(1,)","(17, 17)","(0, 1, 2)",256,True,True,True
6,29.240800142288208,21.035773754119873,8880,8880,0.985472972973,2739,False,,BGR,LUV,12,"(16, 16)","(3, 3)","(0, 1, 2)","(15, 15)","(0, 1, 2)",256,True,True,True
7,29.719005346298218,21.751028776168823,8880,8880,0.985623123123,2931,False,,BGR,LUV,12,"(16, 16)","(3, 3)","(0, 1, 2)","(17, 17)","(0, 1, 2)",256,True,True,True
8,21.96250081062317,14.447745084762573,8880,8880,0.984159159159,2019,False,,BGR,LUV,16,"(16, 16)","(3, 3)","(1,)","(15, 15)","(0, 1, 2)",256,True,True,True
9,25.21504282951355,17.370031356811523,8880,8880,0.98475975976,2211,False,,BGR,LUV,16,"(16, 16)","(3, 3)","(1,)","(17, 17)","(0, 1, 2)",256,True,True,True
10,32.234795808792114,23.74893593788147,8880,8880,0.985247747748,3171,False,,BGR,LUV,16,"(16, 16)","(3, 3)","(0, 1, 2)","(15, 15)","(0, 1, 2)",256,True,True,True
11,34.45133852958679,25.799970865249634,8880,8880,0.985247747748,3363,False,,BGR,LUV,16,"(16, 16)","(3, 3)","(0, 1, 2)","(17, 17)","(0, 1, 2)",256,True,True,True
