,training_time,test_time,n_train,n_test,score,feat_vect_length,error,error_msg,input_cspace,target_cspace,hog_orient_nbins,hog_pix_per_cell,hog_cell_per_block,hog_channel,spatial_binning_size,hist_channels,hist_nbins,spatial_feat,hist_feat,hog_feat
0,1.089421033859253,0.8251607418060303,1160,1161,0.991386735573,3939,False,,BGR,LUV,4,"(6, 6)","(3, 3)","(0,)","(17, 17)","(0, 1, 2)",256,True,True,True
1,1.1021621227264404,0.8255372047424316,1160,1161,0.990812517944,3939,False,,BGR,LUV,4,"(6, 6)","(3, 3)","(1,)","(17, 17)","(0, 1, 2)",256,True,True,True
2,1.2257769107818604,0.9388978481292725,1160,1161,0.990238300316,3939,False,,BGR,LUV,4,"(6, 6)","(3, 3)","(2,)","(17, 17)","(0, 1, 2)",256,True,True,True
3,1.8470282554626465,1.4556128978729248,1160,1161,0.990238300316,6243,False,,BGR,LUV,4,"(6, 6)","(3, 3)","(0, 1)","(17, 17)","(0, 1, 2)",256,True,True,True
4,1.888355016708374,1.6069636344909668,1160,1161,0.988802756245,6243,False,,BGR,LUV,4,"(6, 6)","(3, 3)","(0, 2)","(17, 17)","(0, 1, 2)",256,True,True,True
5,1.8374953269958496,1.4665839672088623,1160,1161,0.988802756245,6243,False,,BGR,LUV,4,"(6, 6)","(3, 3)","(1, 2)","(17, 17)","(0, 1, 2)",256,True,True,True
6,2.836594820022583,2.323028087615967,1160,1161,0.986792994545,8547,False,,BGR,LUV,4,"(6, 6)","(3, 3)","(0, 1, 2)","(17, 17)","(0, 1, 2)",256,True,True,True
7,1.534329891204834,1.1974308490753174,1160,1161,0.992248062016,4771,False,,BGR,LUV,4,"(6, 6)","(4, 4)","(0,)","(17, 17)","(0, 1, 2)",256,True,True,True
8,1.4140574932098389,1.1429638862609863,1160,1161,0.990812517944,4771,False,,BGR,LUV,4,"(6, 6)","(4, 4)","(1,)","(17, 17)","(0, 1, 2)",256,True,True,True
9,1.5184845924377441,1.2304174900054932,1160,1161,0.989376973873,4771,False,,BGR,LUV,4,"(6, 6)","(4, 4)","(2,)","(17, 17)","(0, 1, 2)",256,True,True,True
10,2.4624571800231934,2.0633339881896973,1160,1161,0.990812517944,7907,False,,BGR,LUV,4,"(6, 6)","(4, 4)","(0, 1)","(17, 17)","(0, 1, 2)",256,True,True,True
11,2.5363433361053467,2.0857183933258057,1160,1161,0.987654320988,7907,False,,BGR,LUV,4,"(6, 6)","(4, 4)","(0, 2)","(17, 17)","(0, 1, 2)",256,True,True,True
12,2.591808557510376,2.183767318725586,1160,1161,0.987654320988,7907,False,,BGR,LUV,4,"(6, 6)","(4, 4)","(1, 2)","(17, 17)","(0, 1, 2)",256,True,True,True
13,3.4488637447357178,3.062872886657715,1160,1161,0.987654320988,11043,False,,BGR,LUV,4,"(6, 6)","(4, 4)","(0, 1, 2)","(17, 17)","(0, 1, 2)",256,True,True,True
14,1.7623417377471924,1.4472875595092773,1160,1161,0.987654320988,5235,False,,BGR,LUV,4,"(6, 6)","(5, 5)","(0,)","(17, 17)","(0, 1, 2)",256,True,True,True
15,1.7211549282073975,1.389153242111206,1160,1161,0.989089865059,5235,False,,BGR,LUV,4,"(6, 6)","(5, 5)","(1,)","(17, 17)","(0, 1, 2)",256,True,True,True
16,1.6972730159759521,1.347280740737915,1160,1161,0.987941429802,5235,False,,BGR,LUV,4,"(6, 6)","(5, 5)","(2,)","(17, 17)","(0, 1, 2)",256,True,True,True
