,training_time,test_time,n_train,n_test,score,feat_vect_length,error,error_msg,input_cspace,target_cspace,hog_orient_nbins,hog_pix_per_cell,hog_cell_per_block,hog_channel,spatial_binning_size,hist_channels,hist_nbins,spatial_feat,hist_feat,hog_feat
0,64.36943912506104,4.764944553375244,8880,8880,0.947297297297,684,False,,BGR,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(10, 10)","(0, 1, 2)",128,True,True,False
1,30.632739782333374,6.185505628585815,8880,8880,0.95274024024,816,False,,BGR,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(12, 12)","(0, 1, 2)",128,True,True,False
2,27.055187463760376,9.228088855743408,8880,8880,0.954466966967,972,False,,BGR,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(14, 14)","(0, 1, 2)",128,True,True,False
3,28.50925922393799,8.953481912612915,8880,8880,0.955968468468,1059,False,,BGR,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(15, 15)","(0, 1, 2)",128,True,True,False
4,28.33304500579834,11.693795204162598,8880,8880,0.955292792793,1152,False,,BGR,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",128,True,True,False
5,26.032336950302124,10.916701793670654,8880,8880,0.956981981982,1251,False,,BGR,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(17, 17)","(0, 1, 2)",128,True,True,False
6,29.2042453289032,12.240709781646729,8880,8880,0.956681681682,1356,False,,BGR,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(18, 18)","(0, 1, 2)",128,True,True,False
7,31.75063443183899,15.599915981292725,8880,8880,0.956118618619,1584,False,,BGR,LUV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(20, 20)","(0, 1, 2)",128,True,True,False
8,63.97179651260376,4.862695693969727,8880,8880,0.947297297297,684,False,,BGR,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(10, 10)","(0, 1, 2)",128,True,True,False
9,30.54318070411682,6.1990966796875,8880,8880,0.95274024024,816,False,,BGR,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(12, 12)","(0, 1, 2)",128,True,True,False
10,26.671159029006958,9.160787582397461,8880,8880,0.954466966967,972,False,,BGR,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(14, 14)","(0, 1, 2)",128,True,True,False
11,27.801871061325073,8.970781564712524,8880,8880,0.955968468468,1059,False,,BGR,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(15, 15)","(0, 1, 2)",128,True,True,False
12,27.381261587142944,11.454861402511597,8880,8880,0.955292792793,1152,False,,BGR,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",128,True,True,False
13,25.769489288330078,10.738849401473999,8880,8880,0.956981981982,1251,False,,BGR,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(17, 17)","(0, 1, 2)",128,True,True,False
14,29.699668884277344,12.536168813705444,8880,8880,0.956681681682,1356,False,,BGR,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(18, 18)","(0, 1, 2)",128,True,True,False
15,31.360726356506348,14.832080841064453,8880,8880,0.956118618619,1584,False,,BGR,YCrCb,9,"(16, 16)","(4, 4)","(0, 1, 2)","(20, 20)","(0, 1, 2)",128,True,True,False
16,63.80596709251404,4.7596659660339355,8880,8880,0.947297297297,684,False,,BGR,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(10, 10)","(0, 1, 2)",128,True,True,False
17,30.16040587425232,6.155303001403809,8880,8880,0.95274024024,816,False,,BGR,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(12, 12)","(0, 1, 2)",128,True,True,False
18,25.722257375717163,8.45751404762268,8880,8880,0.954466966967,972,False,,BGR,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(14, 14)","(0, 1, 2)",128,True,True,False
19,27.663689851760864,8.854195833206177,8880,8880,0.955968468468,1059,False,,BGR,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(15, 15)","(0, 1, 2)",128,True,True,False
20,26.3422212600708,10.417956590652466,8880,8880,0.955292792793,1152,False,,BGR,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(16, 16)","(0, 1, 2)",128,True,True,False
21,25.842522382736206,10.641021966934204,8880,8880,0.956981981982,1251,False,,BGR,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(17, 17)","(0, 1, 2)",128,True,True,False
22,28.32160186767578,13.868044376373291,8880,8880,0.956681681682,1356,False,,BGR,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(18, 18)","(0, 1, 2)",128,True,True,False
23,31.67808699607849,15.016726016998291,8880,8880,0.956118618619,1584,False,,BGR,HSV,9,"(16, 16)","(4, 4)","(0, 1, 2)","(20, 20)","(0, 1, 2)",128,True,True,False
